id,full description
1.txt,"Aphrahat. “Demonstration 1: On Faith - ܬܚܘܝܬܐ ܕܗܝܡܢܘܬܐ.” Based upon Jean Parisot ed., Aphraatis Sapientis Persae Demonstrationes (Paris: Firmin-Didot, 1894). Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/1."
2.txt,"Aphrahat. “Demonstration 2: On Love - ܬܚܘܝܬܐ ܕܚܘܒܐ.” Based upon Jean Parisot ed., Aphraatis Sapientis Persae Demonstrationes (Paris: Firmin-Didot, 1894). Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/2."
3.txt,"Aphrahat. “Demonstration 3: On Fasting - ܬܚܘܝܬܐ ܕܨܘܡܐ.” Based upon Jean Parisot ed., Aphraatis Sapientis Persae Demonstrationes (Paris: Firmin-Didot, 1894). Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/3."
4.txt,"Aphrahat. “Demonstration 4: On Prayer - ܬܚܘܝܬܐ ܕܨܠܘܬܐ .” Based upon Jean Parisot ed., Aphraatis Sapientis Persae Demonstrationes (Paris: Firmin-Didot, 1894). Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/4."
5.txt,"Aphrahat. “Demonstration 5: On Wars - ܬܚܘܝܬܐ ܕܩܪ̈ܒܐ.” Based upon Jean Parisot ed., Aphraatis Sapientis Persae Demonstrationes (Paris: Firmin-Didot, 1894). Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/5."
6.txt,"Aphrahat. “Demonstration 6: On the Bnay Qyama - ܬܚܘܝܬܐ ܕܒ̈ܢܝ ܩܝܡܐ .” Based upon Jean Parisot ed., Aphraatis Sapientis Persae Demonstrationes (Paris: Firmin-Didot, 1894). Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/6."
7.txt,"Aphrahat. “Demonstration 7: On Penitents - ܬܚܘܝܬܐ ܕܬ̈ܝܒܐ .” Based upon Jean Parisot ed., Aphraatis Sapientis Persae Demonstrationes (Paris: Firmin-Didot, 1894). Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/7."
8.txt,"Aphrahat. “Demonstration 8: On the Resurrection of the Dead - ܬܚܘܝܬܐ ܕܚܝܬ ܡܝ̈ܬܐ.” Based upon Jean Parisot ed., Aphraatis Sapientis Persae Demonstrationes (Paris: Firmin-Didot, 1894). Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/8."
9.txt,"Aphrahat. “Demonstration 9: On Humility - ܬܚܘܝܬܐ ܕܡܟܝܟܘܬܐ.” Based upon Jean Parisot ed., Aphraatis Sapientis Persae Demonstrationes (Paris: Firmin-Didot, 1894). Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/9."
10.txt,"Aphrahat. “Demonstration 10: On Shepherds - ܬܚܘܝܬܐ ܕܪ̈ܥܘܬܐ .” Based upon Jean Parisot ed., Aphraatis Sapientis Persae Demonstrationes (Paris: Firmin-Didot, 1894). Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/10."
11.txt,"Aphrahat. “Demonstration 11: On Circumcision - ܬܚܘܝܬܐ ܕܓܙܘܪܬܐ.” Based upon Jean Parisot ed., Aphraatis Sapientis Persae Demonstrationes (Paris: Firmin-Didot, 1894). Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/11."
12.txt,"Aphrahat. “Demonstration 12: On Passover - ܬܚܘܝܬܐ ܕܦܨܚܐ.” Based upon Jean Parisot ed., Aphraatis Sapientis Persae Demonstrationes (Paris: Firmin-Didot, 1894). Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/12."
13.txt,"Aphrahat. “Demonstration 13: On the Sabbath - ܬܚܘܝܬܐ ܕܫܒܬܐ.” Based upon Jean Parisot ed., Aphraatis Sapientis Persae Demonstrationes (Paris: Firmin-Didot, 1894). Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/13."
14.txt,"Aphrahat. “Demonstration 14: A Petition - ܬܚܘܝܬܐ ܕܦܝܣܐ.” Based upon Jean Parisot ed., Aphraatis Sapientis Persae Demonstrationes (Paris: Firmin-Didot, 1894). Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/14."
15.txt,"Aphrahat. “Demonstration 15: On the Distinction between Foods - ܬܚܘܝܬܐ ܕܥܠ ܦܘܪܫ ܡܐ̈ܟܠܬܐ.” Based upon Jean Parisot ed., Aphraatis Sapientis Persae Demonstrationes (Paris: Firmin-Didot, 1894). Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/15."
16.txt,"Aphrahat. “Demonstration 16: On the Peoples, who have replaced the People - ܬܚܘܝܬܐ ܕܥܠ ܥܡܡ̈ܐ ܕܗܘܘ ܚܠܦ ܥܡܐ .” Based upon Jean Parisot ed., Aphraatis Sapientis Persae Demonstrationes (Paris: Firmin-Didot, 1894). Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/16."
17.txt,"Aphrahat. “Demonstration 17: On the Messiah, that he is the Son of God - ܬܚܘܝܬܐ ܕܢܚܘܐ ܥܠ ܡܫܝܚܐ ܕܒܪܗ ܗܘ ܕܐܠܗܐ.” Based upon Jean Parisot ed., Aphraatis Sapientis Persae Demonstrationes (Paris: Firmin-Didot, 1894). Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/17."
18.txt,"Aphrahat. “Demonstration 18: Against the Jews, On Virginity and Holiness - ܬܚܘܝܬܐ ܕܠܘܩܒܠ ܝܗܘ̈ܕܝܐ ܘܥܠ ܒܬܘܠܘܬܐ ܘܩܕܝܫܘܬܐ.” Based upon Jean Parisot ed., Aphraatis Sapientis Persae Demonstrationes (Paris: Firmin-Didot, 1894). Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/18."
